#                                                 50                                                100                                               150                                               200                                               250                                               300                                               350                                               400                                               450                                               500                                               550                                               600                                               650                                               700                                               750                                               800
#1234567890123456789012345678901234567890123456789#1234567890123456789012345678901234567890123456789#1234567890123456789012345678901234567890123456789#1234567890123456789012345678901234567890123456789#1234567890123456789012345678901234567890123456789#1234567890123456789012345678901234567890123456789#1234567890123456789012345678901234567890123456789#1234567890123456789012345678901234567890123456789#1234567890123456789012345678901234567890123456789#1234567890123456789012345678901234567890123456789#1234567890123456789012345678901234567890123456789#1234567890123456789012345678901234567890123456789#1234567890123456789012345678901234567890123456789#1234567890123456789012345678901234567890123456789#1234567890123456789012345678901234567890123456789#1234567890123456789012345678901234567890123456789#12
# store_key is created
#name________________,name_code_,description___________________,street_address1_______________,street_address2_______________,city__________________________,county______________,city_state______________________________,state_____,state_code,zip_______,region,district,square_footage,store_director______,asst_store_mngr_____,grocery_mngr________,deli_mngr___________,meat_mngr___________,seafood_mngr________,dairy_mngr__________,hbc_mngr____________,produce_mngr________,receiver____________,financial_services,photo_processing,dry_cleaning,first_opened_date,last_remodel_date,layout_type,grocery_sf,deli_sf___,meat_sf___,seafood_sf,dairy_sf__,hbc_sf____,produce_sf,tier,demographics,level,population_count,fax_number,gross_profit,gross_profit_goal,revenue__,
No Store||||||||||||||||||||||||||||||0|0|0|0|0|0|0||||||0.00|0.00|0.00
#name______________@|name_code@|description__________________@|street_address1______________@|street_address2______________@|city_________________________@|county_____________@|city_state_____________________________@|state____@|state_code|zip______@|region|district|square_footage|store_director_____@|asst_store_mngr____@|grocery_mngr_______@|deli_mngr__________@|meat_mngr__________@|seafood_mngr_______@|dairy_mngr_________@|hbc_mngr___________@|produce_mngr_______@|receiver___________@|financial_services|photo_processing|dry_cleaning|first_opened_date|last_remodel_date|layout_type|grocery_sf|deli_sf___|meat_sf___|seafood_sf|dairy_sf__|hbc_sf____|produce_sf|tier|demographics|level|population_count|fax_number|gross_profit|gross_profit_goal|revenue__
Nut Box Ind Hill #1 |NBC0001   |Nut Box Convenience Store # 1 |5483 Knuckleberry Court       |                              |The Village of Indian Hill    |Hamilton            |The Village of Indian Hill    Ohio      |Ohio      |OH        |45243     |OH01  |OH01-1  |15,750        |Benjamin Franklin   |Jeff Bluebonnet     |Bob Law             |Harold Tunafish     |Joe the Meatman     |Harold Tunafish     |Jim Milkman         |                    |Jim Leafy           |Step'n Fetchit      |ATM               |Yes             |No          |06/13/1995       |09/13/2009       |Standard   |10,000    |500       |500       |200       |500       |0         |100       |1   |Caucasion   |2    |15,000          |555-1212  |600,000      |700,000           |900,000   
Nut Box Adrian #2   |NBC0002   |Nut Box Convenience Store # 2 |1313 Maumee                   |                              |Adrian                        |Lenawee             |Adrian                        Michigan  |Michigan  |MI        |49221     |MI01  |MI01-1  |10,500        |Abraham Lincoln     |Shelly Fish         |Badonk Adonk        |For Cryin out Loud  |Perry Mason         |Badonk Adonk        |Perry Mason         |                    |Bob Broccoli        |Perry Mason         |Branch            |No              |Yes         |07/23/1995       |09/13/2009       |Standard   |8,000     |500       |500       |200       |500       |0         |100       |1   |Caldonian   |3    |20,000          |555-4567  |800,000      |900,000           |990,000   
Nut Box Chelsea #4  |NBC0004   |Nut Box Convenience Store # 4 |5499 Elm St.                  |                              |Chelsea                       |Washtenaw           |Chelsea                       Michigan  |Michigan  |MI        |48118     |MI02  |MI02-1  |14,750        |Benjamin Franklin   |Jeff Bluebonnet     |Bob Law             |Harold Tunafish     |Joe the Meatman     |Harold Tunafish     |Jim Milkman         |                    |Jim Leafy           |Step'n Fetchit      |ATM               |Yes             |No          |03/25/1997       |09/13/2009       |Standard   |10,000    |500       |500       |200       |500       |0         |100       |1   |Caucasion   |2    |15,000          |555-1212  |600,000      |700,000           |900,000
Nut Box Mansfield #6|NBC0006   |Nut Box Convenience Store # 6 |5673 Main Blvd.               |                              |Mansfield                     |Richland            |Mansfield                     Ohio      |Ohio      |OH        |44902     |OH01  |OH01-1  |13,250        |Abraham Lincoln     |Shelly Fish         |Badonk Adonk        |For Cryin out Loud  |Perry Mason         |Badonk Adonk        |Perry Mason         |                    |Bob Broccoli        |Perry Mason         |Branch            |No              |No          |08/12/1998       |09/13/2009       |Standard   |8,000     |500       |500       |200       |500       |0         |100       |1   |Caldonian   |3    |20,000          |555-4567  |800,000      |900,000           |990,000   
Nut Box Angola #8   |NBC0008   |Nut Box Convenience Store # 8 |9987 Harrison                 |                              |Angola                        |Stueben             |Angola                        Indiana   |Indiana   |IN        |46703     |IN01  |IN01-2  |15,750        |Benjamin Franklin   |Jeff Bluebonnet     |Bob Law             |Harold Tunafish     |Joe the Meatman     |Harold Tunafish     |Jim Milkman         |                    |Jim Leafy           |Step'n Fetchit      |ATM               |Yes             |No          |03/05/1999       |09/13/2009       |Standard   |10,000    |500       |500       |200       |500       |0         |100       |1   |Caucasion   |2    |15,000          |555-1212  |600,000      |700,000           |900,000   
Nut Box Morenci #9  |NBC0009   |Nut Box Convenience Store # 9 |4532 Lincoln                  |                              |Morenci                       |Lenawee             |Morenci                       Michigan  |Michigan  |MI        |49256     |MI01  |MI01-1  |10,500        |Abraham Lincoln     |Shelly Fish         |Badonk Adonk        |For Cryin out Loud  |Perry Mason         |Badonk Adonk        |Perry Mason         |                    |Bob Broccoli        |Perry Mason         |ATM               |No              |No          |06/24/1999       |09/13/2009       |Standard   |8,000     |500       |500       |200       |500       |0         |100       |1   |Caldonian   |3    |20,000          |555-4567  |800,000      |900,000           |990,000
Nut Box Dexter #11  |NBC0011   |Nut Box Convenience Store #11 |5521 Robin                    |                              |Dexter                        |Washtenaw           |Dexter                        Michigan  |Michigan  |MI        |48130     |MI02  |MI02-2  |17,250        |Abraham Lincoln     |Shelly Fish         |Badonk Adonk        |For Cryin out Loud  |Perry Mason         |Badonk Adonk        |Perry Mason         |                    |Bob Broccoli        |Perry Mason         |ATM               |No              |Yes         |09/15/1999       |09/13/2009       |Standard   |8,000     |500       |500       |200       |500       |0         |100       |1   |Caldonian   |3    |20,000          |555-4567  |800,000      |900,000           |990,000
Nut Box Bryan #13   |NBC0013   |Nut Box Convenience Store #13 |765 Oak                       |                              |Bryan                         |Williams            |Bryan                         Ohio      |Ohio      |OH        |43506     |OH01  |OH01-2  |14,250        |Abraham Lincoln     |Shelly Fish         |Badonk Adonk        |For Cryin out Loud  |Perry Mason         |Badonk Adonk        |Perry Mason         |                    |Bob Broccoli        |Perry Mason         |Branch            |No              |No          |07/18/2000       |09/13/2009       |Standard   |8,000     |500       |500       |200       |500       |0         |100       |1   |Caldonian   |3    |20,000          |555-4567  |800,000      |900,000           |990,000
Nut Box Wauseon #16 |NBC0016   |Nut Box Convenience Store #16 |88567 Jefferson               |                              |Wauseon                       |Fulton              |Wauseon                       Ohio      |Ohio      |OH        |43567     |OH02  |OH02-1  |12,500        |Abraham Lincoln     |Shelly Fish         |Badonk Adonk        |For Cryin out Loud  |Perry Mason         |Badonk Adonk        |Perry Mason         |                    |Bob Broccoli        |Perry Mason         |ATM               |No              |No          |06/07/2001       |09/13/2009       |Standard   |8,000     |500       |500       |200       |500       |0         |100       |1   |Caldonian   |3    |20,000          |555-4567  |800,000      |900,000           |990,000
Nut Box Novi #17    |NBC0017   |Nut Box Convenience Store #17 |7987 Detroit                  |                              |Novi                          |Oakland             |Novi                          Michigan  |Michigan  |MI        |48375     |MI01  |MI01-2  |15,750        |Abraham Lincoln     |Shelly Fish         |Badonk Adonk        |For Cryin out Loud  |Perry Mason         |Badonk Adonk        |Perry Mason         |                    |Bob Broccoli        |Perry Mason         |ATM               |No              |Yes         |04/23/2004       |09/13/2009       |Standard   |8,000     |500       |500       |200       |500       |0         |100       |1   |Caldonian   |3    |20,000          |555-4567  |800,000      |900,000           |990,000
